ID,createdAt,createdBy,modifiedAt,modifiedBy,vendorName,email,phone,country,currency,taxId,address,status,manager
11111111-1111-1111-1111-111111111111,2026-07-01T00:00:00Z,admin,2026-07-01T00:00:00Z,admin,ABC Suppliers,abc@vendor.com,+1-555-1001,USA,USD,TAX1001,"New York, USA",APPROVED,manager
22222222-2222-2222-2222-222222222222,2026-07-01T00:00:00Z,admin,2026-07-01T00:00:00Z,admin,Global Tech Ltd,global@vendor.com,+44-20-1002,UK,GBP,TAX1002,"London, UK",APPROVED,manager
33333333-3333-3333-3333-333333333333,2026-07-01T00:00:00Z,admin,2026-07-01T00:00:00Z,admin,Sunrise Traders,sunrise@vendor.com,+91-40-1003,India,INR,TAX1003,"Hyderabad, India",APPROVED,manager
44444444-4444-4444-4444-444444444444,2026-07-01T00:00:00Z,admin,2026-07-01T00:00:00Z,admin,Euro Supplies,euro@vendor.com,+49-30-1004,Germany,EUR,TAX1004,"Berlin, Germany",PENDING,manager
55555555-5555-5555-5555-555555555555,2026-07-01T00:00:00Z,admin,2026-07-01T00:00:00Z,admin,Asia Electronics,asia@vendor.com,+65-1005,Singapore,SGD,TAX1005,"Singapore",APPROVED,manager
66666666-6666-6666-6666-666666666666,2026-07-01T00:00:00Z,admin,2026-07-01T00:00:00Z,admin,Pacific Traders,pacific@vendor.com,+61-1006,Australia,AUD,TAX1006,"Sydney, Australia",APPROVED,manager
77777777-7777-7777-7777-777777777777,2026-07-01T00:00:00Z,admin,2026-07-01T00:00:00Z,admin,Northwind Corp,northwind@vendor.com,+1-1007,Canada,CAD,TAX1007,"Toronto, Canada",APPROVED,manager
88888888-8888-8888-8888-888888888888,2026-07-01T00:00:00Z,admin,2026-07-01T00:00:00Z,admin,Metro Logistics,metro@vendor.com,+33-1008,France,EUR,TAX1008,"Paris, France",APPROVED,manager
99999999-9999-9999-9999-999999999999,2026-07-01T00:00:00Z,admin,2026-07-01T00:00:00Z,admin,Prime Manufacturing,prime@vendor.com,+81-1009,Japan,JPY,TAX1009,"Tokyo, Japan",APPROVED,manager
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,2026-07-01T00:00:00Z,admin,2026-07-01T00:00:00Z,admin,Vision Solutions,vision@vendor.com,+971-1010,UAE,AED,TAX1010,"Dubai, UAE",SUSPENDED,manager
